country,counts,id,month,year
IE,1,127,9,2002
AR,1,127,10,2003
SN,1,127,1,2003
CH,1,127,3,2003
BE,1,127,4,2003
CH,1,127,7,2003
GF,1,127,8,2003
MQ,1,127,10,2001
IT,2,127,10,2001
CH,1,127,10,2001
GB,3,127,11,2001
BE,1,127,11,2001
GP,1,127,11,2001
IT,1,127,11,2001
CH,2,127,12,2001
HU,1,127,1,2002
MX,1,127,1,2002
MQ,2,127,1,2002
FI,1,127,1,2002
CH,2,127,1,2002
NO,1,127,1,2002
SR,1,127,1,2002
IT,1,127,1,2002
GB,2,127,2,2002
BE,1,127,2,2002
CH,1,127,2,2002
ES,1,127,2,2002
FI,1,127,3,2002
CA,1,127,3,2002
CZ,1,127,3,2002
IT,1,127,4,2002
GB,1,127,5,2002
ES,1,127,5,2002
DE,1,127,6,2002
FR,2,127,10,2004
CA,2,127,9,2004
PT,1,127,9,2004
GB,1,127,5,2004
GB,1,127,2,2004
IE,1,127,10,2002
BE,1,127,7,2003
BR,1,127,3,2004
GB,2,127,5,2003
BE,1,127,5,2003
BJ,1,127,7,2003
US,2,127,8,2002
CH,1,127,12,2002
NL,1,127,1,2003
BE,1,127,2,2003
CA,1,127,2,2003
AT,1,127,7,2002
CH,1,127,4,2004
AT,1,127,4,2004
US,2,127,8,2004
RU,1,127,1,2004
CA,1,127,8,2004
CA,1,127,4,2004
DE,1,127,10,2003
AT,1,127,6,2004
BE,1,127,3,2003
NL,1,127,9,2003
AU,1,127,10,2003
SE,1,127,10,2003
BE,1,127,10,2002
CA,1,127,12,2002
CA,2,127,1,2003
GB,1,127,3,2003
AR,1,127,5,2003
CA,1,127,9,2003
GB,1,127,9,2003
MQ,1,127,8,2004
CH,1,127,2,2004
GF,1,127,1,2004
BE,1,127,8,2004
RU,1,127,8,2004
IE,1,127,7,2004
CA,1,127,7,2004
CA,1,127,6,2004
AR,1,127,5,2004
NG,1,127,4,2004
US,1,127,4,2004
VE,1,127,4,2004
NL,1,127,3,2004
HU,1,127,1,2004
GB,1,127,1,2004
MX,1,127,1,2004
NL,1,127,11,2003
BR,1,127,8,2002
CH,1,127,10,2003
MQ,1,127,6,2004
US,1,127,11,2003
FR,2,127,11,2003
CA,1,127,5,2004
NL,1,127,9,2004
SE,1,127,8,2004
GB,1,127,4,2004
CH,1,127,3,2004
HR,1,127,2,2004
DE,1,127,11,2001
IT,1,127,7,2001
FR,2,127,9,1999
CH,1,127,9,1999
FR,1,127,11,1999
MQ,1,127,12,1999
